#t	#1	#2	#3	#4
17912.0	-4.25664047789797e-12	0.0	7.618817585884721e-12	-3.560945258134875e-12
17916.0	-4.258506759500924e-12	0.0	7.622354073779955e-12	-3.5626547799789087e-12
17920.0	-4.260373456368823e-12	0.0	7.625892802795526e-12	-3.564364717047258e-12
17924.0	-4.262240569267397e-12	0.0	7.629427049570421e-12	-3.5660750701062235e-12
17928.0	-4.264108098162298e-12	0.0	7.63295345242413e-12	-3.567785839201087e-12
17932.0	-4.265976041945033e-12	0.0	7.636482096398177e-12	-3.5694970232232136e-12
17936.0	-4.267844399209787e-12	0.0	7.640015222612903e-12	-3.571208620777745e-12
17940.0	-4.269713168800032e-12	0.0	7.643552831068307e-12	-3.57292063079782e-12
17944.0	-4.271582350444288e-12	0.0	7.64709268064405e-12	-3.5746330529085167e-12
17948.0	-4.273451944348343e-12	0.0	7.650625806858777e-12	-3.576345887236175e-12
17952.0	-4.27532194977261e-12	0.0	7.654157812513333e-12	-3.5780591330418314e-12
17956.0	-4.277192365379118e-12	0.0	7.657695420968738e-12	-3.5797727890784397e-12
17960.0	-4.279063190379847e-12	0.0	7.66123863222499e-12	-3.581486854557549e-12
17964.0	-4.280934424934396e-12	0.0	7.664785205161751e-12	-3.5832013295478324e-12
17968.0	-4.282806069737899e-12	0.0	7.66833401921885e-12	-3.584916214745041e-12
17972.0	-4.284678125713057e-12	0.0	7.67188171271578e-12	-3.586631511061179e-12
17976.0	-4.286550593494744e-12	0.0	7.675423803411861e-12	-3.5883472192334685e-12
17980.0	-4.288423472917682e-12	0.0	7.678961411867266e-12	-3.590063339095945e-12
17984.0	-4.290296763011128e-12	0.0	7.682501261443009e-12	-3.591779869586912e-12
17988.0	-4.292170462575614e-12	0.0	7.686051196060279e-12	-3.5934968095188154e-12
17992.0	-4.294044571254388e-12	0.0	7.689610095158905e-12	-3.595214158614582e-12
17996.0	-4.2959190899557555e-12	0.0	7.693172355938041e-12	-3.59693191786114e-12
18000.0	-4.297794020570879e-12	0.0	7.696729013916329e-12	-3.598650089147784e-12
18004.0	-4.299669364698204e-12	0.0	7.700281189653937e-12	-3.6003686739809644e-12
18008.0	-4.301545122771538e-12	0.0	7.703831124271208e-12	-3.602087672794255e-12
18012.0	-4.303421294566228e-12	0.0	7.707379938328307e-12	-3.6038070853625545e-12
18016.0	-4.305297879647367e-12	0.0	7.710925390704898e-12	-3.6055269111602155e-12
18020.0	-4.307174877089826e-12	0.0	7.714461878600132e-12	-3.6072471492629247e-12
18024.0	-4.309052284792483e-12	0.0	7.718000607615706e-12	-3.6089677976608686e-12
18028.0	-4.310930100183438e-12	0.0	7.721546059992294e-12	-3.6106888537819016e-12
18032.0	-4.3128083214966315e-12	0.0	7.725089271248547e-12	-3.6124103157691827e-12
18036.0	-4.314686947204299e-12	0.0	7.728638085305646e-12	-3.614132182095705e-12
