#t	#1	#2	#3	#4	#5	#6	#7
745.0	2.808878312874109e-5	-1.4199529831029228e-5	8.786546181332838e-5	0.0	1.760518534845554e-5	6.965826187495942e-6	-1.669139657462964e-5
746.0	2.8056826511834295e-5	-1.4183741665107805e-5	8.774218854980579e-5	0.0	1.7600110440869033e-5	6.956650078782415e-6	-1.6661146522734577e-5
747.0	2.802490427920627e-5	-1.416797809351702e-5	8.761914464669812e-5	0.0	1.7594951066601763e-5	6.9475016785660886e-6	-1.6630958698602064e-5
748.0	2.799301596560978e-5	-1.4152238767512463e-5	8.749632888312686e-5	0.0	1.7589708441472736e-5	6.9383800407471575e-6	-1.660083360441815e-5
749.0	2.7961161121621987e-5	-1.4136523332060665e-5	8.737374004038244e-5	0.0	1.7584383819417184e-5	6.929284222003416e-6	-1.6570771733712866e-5
750.0	2.7929339314003073e-5	-1.4120831426638913e-5	8.72513769032116e-5	0.0	1.7578978489655346e-5	6.92021328337703e-6	-1.6540773570482574e-5
751.0	2.7897550126014696e-5	-1.4105162686024164e-5	8.712923826104728e-5	0.0	1.7573493773895546e-5	6.911166291815209e-6	-1.6510839588338458e-5
752.0	2.7865793157700903e-5	-1.4089516741071126e-5	8.700732290922986e-5	0.0	1.7567931023504483e-5	6.902142321662653e-6	-1.6480970249708547e-5
753.0	2.7834068026130445e-5	-1.4073893219477367e-5	8.688562965016884e-5	0.0	1.7562291616728424e-5	6.893140456105645e-6	-1.645116600506066e-5
754.0	2.7802374365601855e-5	-1.4058291746535272e-5	8.676415729447294e-5	0.0	1.755657695591526e-5	6.884159788565665e-6	-1.6421427292178003e-5
755.0	2.7770711827811423e-5	-1.4042711945869036e-5	8.664290466203706e-5	0.0	1.7550788464765516e-5	6.875199424040758e-6	-1.6391754535463105e-5
756.0	2.773908008198495e-5	-1.4027153440156302e-5	8.652187058308768e-5	0.0	1.7544927585607317e-5	6.866258480394407e-6	-1.636214814528964e-5
757.0	2.7707478814973785e-5	-1.401161585183335e-5	8.640105389918342e-5	0.0	1.7538995776717634e-5	6.857336089589938e-6	-1.6332608517391253e-5
758.0	2.767590773131571e-5	-1.3996098803782313e-5	8.628045346417636e-5	0.0	1.7532994509655675e-5	6.848431398869972e-6	-1.630313603228065e-5
759.0	2.7644366553261944e-5	-1.39806019200001e-5	8.616006814512043e-5	0.0	1.7526925266668572e-5	6.83954357187865e-6	-1.627373105472526e-5
760.0	2.7612855020770652e-5	-1.396512482624888e-5	8.603989682314614e-5	0.0	1.7520789538114685e-5	6.83067178972901e-6	-1.6244393933249467e-5
761.0	2.758137289146809e-5	-1.3949667150686126e-5	8.59199383942812e-5	0.0	1.7514588819950804e-5	6.821815252011814e-6	-1.6215124999685437e-5
762.0	2.754991994057798e-5	-1.393422852447447e-5	8.580019177023012e-5	0.0	1.750832461126965e-5	6.812973177747158e-6	-1.618592456874679e-5
763.0	2.7518495960820694e-5	-1.3918808582370906e-5	8.568065587909562e-5	0.0	1.7501998411884388e-5	6.804144806278122e-6	-1.615679293767072e-5
764.0	2.748710076228183e-5	-1.3903406963293677e-5	8.556132966608277e-5	0.0	1.7495611719984276e-5	6.795329398105858e-6	-1.6127730385867875e-5
765.0	2.745573417225291e-5	-1.3888023310867359e-5	8.544221209411873e-5	0.0	1.7489166029838374e-5	6.786526235665646e-6	-1.609873717463064e-5
766.0	2.742439603504413e-5	-1.3872657273945335e-5	8.532330214445485e-5	0.0	1.7482662829573203e-5	6.777734624045101e-6	-1.606981354687501e-5
767.0	2.73930862117705e-5	-1.3857308507109282e-5	8.520459881720981e-5	0.0	1.7476103599013005e-5	6.768953891643745e-6	-1.604095972691675e-5
768.0	2.736180458011223e-5	-1.3841976671145568e-5	8.508610113186564e-5	0.0	1.746948980759023e-5	6.760183390774434e-6	-1.6012175920286986e-5
769.0	2.733055103405105e-5	-1.3826661433497686e-5	8.496780812773136e-5	0.0	1.746282291232129e-5	6.751422498206786e-6	-1.598346231358662e-5
770.0	2.7299325483582795e-5	-1.3811362468695372e-5	8.484971886433937e-5	0.0	1.745610435586513e-5	6.742670615653327e-6	-1.595481907437545e-5
