# (1)t	# (2) P[5<--1](t)	# (3) P[5<--2](t)	# (4) P[5<--3](t)	# (5) P[5<--4](t)	# (6) P[5<--5](t)	# (7) P[5<--6](t)	# (8) P[5<--7](t)
125.0	0.00573708001	0.0001415186115	-0.0002918211189	0.003466812987	0.0	0.0088746714	4.197325919e-5
126.0	0.005748579274	0.0001403272631	-0.0002908219333	0.003479007544	0.0	0.008884149657	4.242513277e-5
127.0	0.005761157032	0.0001391305831	-0.0002898039306	0.00348952428	0.0	0.00889449943	4.28560735e-5
128.0	0.005774844474	0.0001379307029	-0.0002887719688	0.003498450236	0.0	0.008905895758	4.326666759e-5
129.0	0.005789669377	0.000136729662	-0.0002877307381	0.00350587642	0.0	0.008918508951	4.365755528e-5
130.0	0.005805656115	0.0001355294072	-0.0002866847563	0.003511897316	0.0	0.008932504113	4.402942713e-5
131.0	0.005822825699	0.0001343317912	-0.0002856383637	0.003516610391	0.0	0.00894804069	4.438302027e-5
132.0	0.005841195806	0.0001331385729	-0.0002845957196	0.003520115603	0.0	0.00896527204	4.471911466e-5
133.0	0.00586078083	0.0001319514166	-0.0002835607999	0.003522514903	0.0	0.008984345033	4.50385292e-5
134.0	0.005881591933	0.0001307718923	-0.000282537394	0.003523911754	0.0	0.009005399681	4.534211792e-5
135.0	0.005903637105	0.000129601476	-0.0002815291044	0.003524410646	0.0	0.009028568784	4.563076619e-5
136.0	0.005926921226	0.0001284415503	-0.000280539345	0.00352411663	0.0	0.009053977626	4.590538684e-5
137.0	0.005951446142	0.0001272934054	-0.0002795713411	0.003523134857	0.0	0.00908174368	4.616691648e-5
138.0	0.005977210742	0.0001261582399	-0.0002786281299	0.003521570136	0.0	0.009111976358	4.641631171e-5
139.0	0.006004211038	0.0001250371622	-0.0002777125612	0.003519526506	0.0	0.009144776792	4.66545455e-5
140.0	0.006032440251	0.0001239311923	-0.0002768272983	0.003517106825	0.0	0.009180237634	4.688260362e-5
141.0	0.006061888908	0.0001228412629	-0.0002759748199	0.003514412379	0.0	0.009218442905	4.710148114e-5
142.0	0.006092544932	0.0001217682217	-0.0002751574222	0.003511542513	0.0	0.009259467865	4.731217903e-5
143.0	0.006124393744	0.000120712833	-0.0002743772209	0.003508594283	0.0	0.009303378913	4.751570091e-5
144.0	0.006157418362	0.0001196757799	-0.0002736361542	0.003505662128	0.0	0.009350233532	4.771304986e-5
