#t	#1	#2	#3	#4	#5	#6	#7
723.0	0.42685953681994465	0.0	-0.2113288513747534	0.015247558258047477	0.00015520637166826934	-0.0373646336214928	0.005769368523738462
724.0	0.42692474226776705	0.0	-0.21152609795478675	0.015262103725049114	0.00015556557196143078	-0.03739640571294155	0.0057753549466412445
725.0	0.4269898985534708	0.0	-0.21172311891468096	0.015276632812185388	0.0001559243923232685	-0.03742814009978503	0.0057813346558600945
726.0	0.42705500778099625	0.0	-0.21191991459279513	0.015291145548475476	0.0001562828326405379	-0.03745983684757162	0.005787307662326747
727.0	0.4271200719602598	0.0	-0.21211648532694954	0.015305641962921028	0.00015664089280695471	-0.037491496021539755	0.005793273977040846
728.0	0.42718509300589186	0.0	-0.21231283145426963	0.015320122084483023	0.0001569985727238983	-0.03752311768659374	0.0057992336110593646
729.0	0.42725007273618254	0.0	-0.2125089533110348	0.015334585942059295	0.00015735587230108206	-0.03755470190728059	0.005805186575486192
730.0	0.42731501287223245	0.0	-0.21270485123253222	0.015349033564462709	0.00015771279145719054	-0.037586248747767975	0.00581113288146189
731.0	0.4273799150373046	0.0	-0.21290052555291547	0.01536346498040004	0.0001580693301204828	-0.03761775827182331	0.005817072540153646
732.0	0.4274447807563737	0.0	-0.21309597660506882	0.015377880218451573	0.00015842548822936225	-0.03764923054279391	0.005823005562745436
733.0	0.4275096114558684	0.0	-0.21329120472047636	0.015392279307051423	0.00015878126573291184	-0.03768066562358834	0.0058289319604283955
734.0	0.42757440846360234	0.0	-0.21348621022909703	0.015406662274468628	0.00015913666259139556	-0.03771206357665884	0.00583485174439143
735.0	0.42763917300888926	0.0	-0.21368099345924474	0.01542102914878899	0.00015949167877672522	-0.03774342446398493	0.005840764925812062
736.0	0.42770390622283727	0.0	-0.21387555473747455	0.015435379957897719	0.00015984631427289327	-0.03777474834705814	0.005846671515847533
737.0	0.4277686091388173	0.0	-0.2140698943884742	0.015449714729462853	0.0001602005690763711	-0.03780603528686789	0.005852571525626174
738.0	0.42783328269310056	0.0	-0.21426401273496148	0.015464033490919498	0.0001605544431964733	-0.03783728534388848	0.005858464966239029
739.0	0.42789792772565916	0.0	-0.2144579100975875	0.015478336269454879	0.0001609079366556883	-0.03786849857806725	0.005864351848731786
740.0	0.42796254498112457	0.0	-0.21465158679484553	0.015492623091994203	0.00016126104948997484	-0.03789967504881383	0.005870232184096971
741.0	0.42802713510989837	0.0	-0.21484504314298605	0.015506893985187363	0.00016161378174902555	-0.03793081481499054	0.005876105983266456
742.0	0.42809169866940877	0.0	-0.21503827945593723	0.015521148975396457	0.00016196613349649718	-0.037961917934903854	0.005881973257104254
743.0	0.4281562361255075	0.0	-0.21523129604523156	0.015535388088684156	0.0001623181048102085	-0.037992984466297	0.005887834016399635
744.0	0.4282207478540007	0.0	-0.2154240932199382	0.01554961135080289	0.0001626696957823058	-0.03802401446634362	0.00589368827186054
745.0	0.4282852341423076	0.0	-0.2156166712866011	0.015563818787184868	0.00016302090651939692	-0.03805500799164247	0.0058995360341073215
746.0	0.42834969519124066	0.0	-0.2158090305491831	0.015578010422932937	0.0001633717371426544	-0.03808596509821322	0.0059053773136668
747.0	0.4284141311169008	0.0	-0.2160011713090154	0.015592186282812249	0.00016372218778788758	-0.03811688584149323	0.005911212120966641
748.0	0.4284785419526814	0.0	-0.21619309386475316	0.015606346391242762	0.00016407225860558562	-0.038147770276335376	0.005917040466330062
749.0	0.4285429276513748	0.0	-0.2163847985123364	0.01562049077229255	0.00016442194976093083	-0.038178618457006805	0.005922862359970862
750.0	0.4286072880873742	0.0	-0.21657628554495653	0.0156346194496719	0.0001647712614337837	-0.03820943043718872	0.005928677811988774
751.0	0.4286716230589653	0.0	-0.21676755525302846	0.015648732446728233	0.00016512019381864046	-0.03824020626997706	0.005934486832365156
752.0	0.42873593229070045	0.0	-0.21695860792416796	0.01566282978644178	0.0001654687471245634	-0.03827094600788412	0.005940289430958996
753.0	0.4288002154358495	0.0	-0.21714944384317444	0.015676911491422054	0.0001658169215750855	-0.03830164970284102	0.005946085617503255
754.0	0.42886447207892026	0.0	-0.2173400632920188	0.01569097758390506	0.00016616471740808943	-0.03833231740620109	0.005951875401601523
